i,Je
am,suis
guy,mec
can,can
cook,cocinar
go,golpe
good,bueno
have,tener
stand,aguantar
stay,quedarse
swim,nadar
work,trabajar
hair,el cabello
snow,la nieve
chair,la silla
eat,comer
rain,la lluvia
music,la musica
shoe,el zapato
come,venir
run,correr
lie,mentir
write,escribir
dance,bailar
watch,mirar
read,leer
like,gustar
live,vivir
pass,pasar
finish,terminar
try,intentar
study,estudiar
boil,hervir
close,cerrar
cost,costar
meet,conocer
open,abierto
speak,hablar
teach,ensenar
wash,lavar
early,temprano
play,jugar
hard,duro
dinner,la cena
cloth,elpano
accident,accidente
accidental,accidental
adult,adulto
adventure,aventura
agent,agente
air,aire
alarm,alarma
association,asociación
astronomer,astrónomo
atmosphere,atmósfera
attention,atención
August,agosto
autograph,autógrafo
automobile,automóvil
banjo,banjo
bicycle,bicicleta
biography,biografía
blouse,blusa
brilliant,brillante
cable,cable
cafeteria,cafetería
camera,cámara
camouflage,camuflaje
canyon,cañón
captain,capitán
different,diferente
dinosaur,dinosaurio
direction,dirección
directions,direcciones
directly,directamente
director,director
extra,extra
elephant,elefante
finally,finalmente
firm,firme
flexible,flexible
flower,flor
fortunately,afortunadamente
fruit,fruta
immigrants,inmigrantes
importance,importancia
important,importante
minute,minuto
minutes,minutos
moment,momento
monument,monumento
much,mucho






